-0.02,-0.34,548,-0.08,-1.44
0.06,-0.3,556,-0.28,-1.44
0.14,-0.26,548,-0.24,-1.48
0.18,-0.3,556,-0.4,-1.44
0.22,-0.34,556,-0.4,-1.48
0.1,-0.34,548,-0.32,-1.44
0.06,-0.3,548,-0.32,-1.44
-0.02,-0.3,548,-0.12,-1.44
0.02,-0.34,556,-0.16,-1.44
0.06,-0.3,564,-0.16,-1.44
0.1,-0.34,564,-0.24,-1.44
0.1,-0.3,572,-0.32,-1.48
0.26,-0.34,572,-0.4,-1.48
0.14,-0.3,564,-0.4,-1.44
0.06,-0.26,564,-0.24,-1.44
-0.02,-0.3,556,-0.16,-1.44
0.06,-0.26,572,-0.16,-1.44
0.02,-0.3,564,-0.16,-1.52
0.14,-0.3,572,-0.24,-1.48
0.14,-0.3,572,-0.28,-1.44
0.18,-0.34,556,-0.44,-1.4
0.22,-0.3,564,-0.44,-1.44
0.1,-0.34,556,-0.4,-1.44
0.06,-0.34,580,-0.2,-1.48
0.02,-0.38,556,-0.24,-1.48
0.06,-0.3,572,-0.08,-1.48
0.1,-0.26,564,-0.16,-1.44
0.1,-0.34,564,-0.2,-1.44
0.14,-0.3,564,-0.28,-1.48
0.22,-0.3,556,-0.4,-1.48
0.14,-0.26,572,-0.36,-1.48
0.1,-0.3,564,-0.24,-1.44
0.02,-0.26,564,-0.12,-1.48
0.06,-0.3,572,-0.16,-1.4
-0.02,-0.34,564,-0.08,-1.44
0.06,1.3,572,-0.2,inf
0.14,1.54,572,-0.24,2.76
0.14,1.86,564,-0.32,2.28
0.18,1.86,564,-0.36,2.36
0.1,1.94,572,-0.28,2.4
0.06,1.94,564,-0.16,2.4
0.06,1.86,564,-0.12,2.4
0.02,1.9,564,-0.08,2.4
0.02,1.94,572,-0.2,2.4
0.02,1.82,572,-0.16,2.44
0.14,1.82,572,-0.28,2.4
0.34,1.78,596,-0.28,2.4
0.14,1.78,580,-0.36,2.4
0.1,1.82,580,-0.24,2.44
-0.02,1.78,572,-0.08,2.44
0.06,1.82,580,-0.2,2.44
0.02,1.74,580,-0.12,2.4
0.1,1.78,580,-0.28,2.4
0.18,1.78,572,-0.28,2.48
